id,Name,d bore,D outside,B,dynamic (kN),static (kN),Reference speed (r/min),Limiting speed (r/min)
0,W 618/1,1,3,1,0.052,0.012,240000,150000
1,W 619/1,1,4,1.6,0.079,0.018,220000,140000
2,W 638/1,1,3,1.5,0.052,0.012,240000,150000
3,W 60/1.5,1.5,6,2.5,0.19,0.051,180000,110000
4,W 618/1.5,1.5,4,1.2,0.062,0.016,220000,140000
5,W 619/1.5,1.5,5,2,0.135,0.036,200000,120000
6,W 630/1.5-2Z,1.5,6,3,0.19,0.051,180000,90000
7,W 638/1.5-2Z,1.5,4,2,0.062,0.016,220000,110000
8,W 602,2,7,2.8,0.221,0.067,160000,100000
9,W 602 X-2ZS,2,7,3,0.221,0.067,160000,80000
10,W 617/2,2,4,1.2,0.068,0.019,200000,130000
11,W 618/2,2,5,1.5,0.094,0.025,200000,120000
12,W 618/2 X,2,5,2,0.094,0.025,200000,120000
13,W 619/2,2,6,2.3,0.19,0.051,180000,110000
14,W 619/2 X,2,6,2.5,0.19,0.051,180000,110000
15,W 619/2 X-2Z,2,6,2.5,0.19,0.051,180000,90000
16,W 637/2-2Z,2,4,2,0.068,0.019,200000,100000
17,W 638/2 X-2Z,2,5,2.5,0.094,0.025,200000,100000
18,W 638/2-2Z,2,5,2.3,0.094,0.025,200000,100000
19,W 639/2-2Z,2,6,3,0.19,0.051,180000,90000
20,W 60/2.5,2.5,8,2.8,0.312,0.088,160000,95000
21,W 618/2.5,2.5,6,1.8,0.117,0.036,170000,110000
22,W 619/2.5,2.5,7,2.5,0.221,0.067,160000,100000
23,W 630/2.5-2Z,2.5,8,4,0.312,0.088,160000,80000
24,W 638/2.5-2Z,2.5,6,2.6,0.117,0.036,170000,85000
25,623,3,10,4,0.54,0.18,130000,80000
26,623-2RS1,3,10,4,0.54,0.18,None,40000
27,623-2Z,3,10,4,0.54,0.18,130000,60000
28,623-Z,3,10,4,0.54,0.18,130000,80000
29,W 603,3,9,3,0.325,0.095,140000,90000
30,W 603 X-2Z,3,9,4,0.325,0.095,140000,70000
31,W 617/3,3,6,2,0.117,0.036,170000,110000
32,W 618/3,3,7,2,0.178,0.057,160000,100000
33,W 619/3,3,8,3,0.319,0.09,150000,95000
34,W 619/3-2Z,3,8,3,0.225,0.072,150000,75000
35,W 623,3,10,4,0.358,0.11,140000,90000
36,W 623 R-2Z,3,10,4,0.358,0.11,140000,70000
37,W 623-2RS1,3,10,4,0.358,0.11,None,40000
38,W 623-2Z,3,10,4,0.358,0.11,140000,70000
39,W 627/3 R-2Z,3,6,2.5,0.117,0.036,170000,85000
40,W 627/3-2Z,3,6,2.5,0.117,0.036,170000,85000
41,W 630/3-2Z,3,9,5,0.325,0.095,140000,70000
42,W 633,3,13,5,0.741,0.25,110000,70000
43,W 633-2RS1,3,13,5,0.741,0.25,None,32000
44,W 633-2Z,3,13,5,0.741,0.25,110000,56000
45,W 637/3-2Z,3,6,3,0.117,0.036,170000,85000
46,W 638/3-2RS1,3,7,3,0.178,0.057,None,45000
47,W 638/3-2Z,3,7,3,0.178,0.057,160000,80000
48,W 639/3-2RS1,3,8,4,0.319,0.09,None,43000
49,W 639/3-2Z,3,8,4,0.319,0.09,150000,75000
50,D/W R144,3.175,6.35,2.38,0.163,0.048,170000,100000
51,D/W R144 R,3.175,6.35,2.38,0.163,0.048,170000,100000
52,D/W R144 R-2Z,3.175,6.35,2.779,0.163,0.048,170000,85000
53,D/W R144-2Z,3.175,6.35,2.779,0.163,0.048,170000,85000
54,604-2Z,4,12,4,0.806,0.28,120000,60000
55,618/4,4,9,2.5,0.423,0.116,140000,85000
56,619/4,4,11,4,0.624,0.18,130000,80000
57,619/4-2Z,4,11,4,0.624,0.18,130000,63000
58,624,4,13,5,0.936,0.29,110000,67000
59,624-2Z,4,13,5,0.936,0.29,110000,53000
60,624-Z,4,13,5,0.936,0.29,110000,67000
61,628/4-2Z,4,9,3.5,0.423,0.116,140000,70000
62,634,4,16,5,1.11,0.38,95000,60000
63,634-2Z,4,16,5,1.11,0.38,95000,48000
64,638/4-2Z,4,9,4,0.423,0.116,140000,70000
65,W 604,4,12,4,0.54,0.176,130000,80000
66,W 604-2RS1,4,12,4,0.54,0.176,None,36000
67,W 604-2Z,4,12,4,0.54,0.176,130000,63000
68,W 617/4,4,7,2,0.178,0.057,150000,95000
69,W 617/4 X,4,8,2,0.225,0.072,150000,90000
70,W 618/4,4,9,2.5,0.364,0.114,140000,85000
71,W 619/4,4,11,4,0.54,0.176,130000,80000
72,W 619/4-2RS1,4,11,4,0.54,0.176,None,36000
73,W 619/4-2Z,4,11,4,0.54,0.176,130000,63000
74,W 624-2RS1,4,13,5,0.741,0.25,None,32000
75,W 624-2Z,4,13,5,0.741,0.25,110000,56000
76,W 627/4 R-2Z,4,7,2.5,0.143,0.053,150000,75000
77,W 627/4-2Z,4,7,2.5,0.143,0.053,150000,75000
78,W 634,4,16,5,0.761,0.265,100000,63000
79,W 634-2RS1,4,16,5,0.761,0.265,None,30000
80,W 634-2Z,4,16,5,0.761,0.265,100000,50000
81,W 637/4 X,4,10,3,0.553,0.245,130000,80000
82,W 637/4 X-2Z,4,8,3,0.225,0.072,150000,75000
83,W 638/4 R-2Z,4,9,4,0.364,0.114,140000,70000
84,W 638/4 X-2RS1,4,10,4,0.553,0.245,None,36000
85,W 638/4 X-2Z,4,10,4,0.553,0.245,130000,63000
86,W 638/4-2RS1,4,9,4,0.364,0.114,None,40000
87,W 638/4-2Z,4,9,4,0.364,0.114,140000,70000
88,D/W R166-2Z,4.762,9.525,3.175,0.403,0.137,130000,63000
89,D/W R3-2Z,4.762,12.7,4.978,0.741,0.25,110000,56000
90,618/5,5,11,3,0.468,0.143,120000,75000
91,619/5,5,13,4,0.884,0.335,110000,70000
92,619/5-2Z,5,13,4,0.884,0.335,110000,50000
93,625,5,16,5,1.14,0.38,95000,60000
94,625-2Z,5,16,5,1.14,0.38,95000,48000
95,625-Z,5,16,5,1.14,0.38,95000,60000
96,628/5-2Z,5,11,4,0.468,0.143,120000,60000
97,635,5,19,6,2.34,0.95,80000,50000
98,635-2Z,5,19,6,2.34,0.95,80000,40000
99,638/5-2Z,5,11,5,0.468,0.143,120000,60000
100,W 605,5,14,5,0.761,0.26,110000,67000
101,W 605-2RS1,5,14,5,0.761,0.26,None,30000
102,W 605-2Z,5,14,5,0.761,0.26,110000,53000
103,W 617/5,5,8,2,0.174,0.061,140000,85000
104,W 618/5,5,11,3,0.403,0.143,120000,75000
105,W 619/5,5,13,4,0.761,0.335,110000,70000
106,W 619/5 X-2Z,5,13,5,0.761,0.335,110000,56000
107,W 619/5-2RS1,5,13,4,0.761,0.335,None,32000
108,W 619/5-2Z,5,13,4,0.761,0.335,110000,56000
109,W 625,5,16,5,1.43,0.63,100000,63000
110,W 625-2RS1,5,16,5,1.43,0.63,None,28000
111,W 625-2Z,5,16,5,1.43,0.63,100000,50000
112,W 625-2Z/VT378,5,16,5,1.43,0.63,100000,50000
113,W 627/5 R-2Z,5,8,2.5,0.121,0.045,140000,70000
114,W 627/5-2Z,5,8,2.5,0.121,0.045,140000,70000
115,W 627/5-2ZS,5,8,2.5,0.121,0.045,140000,70000
116,W 628/5 R-2Z,5,11,4,0.403,0.143,120000,60000
117,W 628/5-2RS1,5,11,4,0.403,0.143,None,34000
118,W 628/5-2Z,5,11,4,0.403,0.143,120000,60000
119,W 635-2RS1,5,19,6,2.03,0.88,None,24000
120,W 635-2Z,5,19,6,2.03,0.88,85000,43000
121,W 637/5 X-2Z,5,9,3,0.247,0.085,130000,67000
122,W 638/5 R-2Z,5,11,5,0.403,0.143,120000,60000
123,W 638/5-2RS1,5,11,5,0.403,0.143,None,34000
124,W 638/5-2Z,5,11,5,0.403,0.143,120000,60000
125,WBB1-8705-2Z,5,10,4,0.247,0.085,130000,67000
126,618/6,6,13,3.5,0.715,0.224,110000,67000
127,619/6,6,15,5,0.884,0.27,100000,63000
